         20998046 function calls (20938228 primitive calls) in 12.695 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      295    0.000    0.000    0.001    0.000 warnings.py:181(_add_filter)
     1020    0.000    0.000    0.000    0.000 util.py:62(free_time)
      208    0.000    0.000    0.001    0.000 byteflow.py:1171(append)
       10    0.000    0.000    0.013    0.001 codegen.py:127(_optimize_functions)
      597    0.000    0.000    0.000    0.000 value.py:81(__init__)
      193    0.000    0.000    0.009    0.000 cgutils.py:166(__getitem__)
      640    0.000    0.000    0.001    0.000 utils.py:377(stream_list)
      287    0.000    0.000    0.000    0.000 module.py:138(add_global)
       98    0.000    0.000    0.001    0.000 ntpath.py:180(split)
        6    0.000    0.000    0.001    0.000 graph_abs.py:55(<listcomp>)
       64    0.000    0.000    0.002    0.000 inspect.py:2206(_signature_from_callable)
      208    0.000    0.000    0.004    0.000 interpreter.py:370(_dispatch)
      358    0.000    0.000    0.012    0.000 lowering.py:1325(decref)
      289    0.000    0.000    0.004    0.000 models.py:695(getter)
      358    0.000    0.000    0.014    0.000 lowering.py:1238(_alloca_var)
       34    0.000    0.000    0.002    0.000 ntpath.py:678(relpath)
       72    0.000    0.000    0.068    0.001 lowering.py:1001(lower_expr)
     1840    0.000    0.000    0.000    0.000 compiler.py:272(__getattr__)
     2251    0.000    0.000    0.000    0.000 analysis.py:40(<genexpr>)
      391    0.000    0.000    0.002    0.000 inline_closurecall.py:1448(list_var_used)
     1336    0.000    0.000    0.000    0.000 iostream.py:319(closed)
     2701    0.000    0.000    0.000    0.000 abstract.py:477(initial_value)
      376    0.000    0.000    0.000    0.000 values.py:173(__eq__)
      295    0.000    0.000    0.000    0.000 warnings.py:477(__exit__)
      668    0.000    0.000    0.000    0.000 ansitowin32.py:116(get_win32_calls)
      144    0.000    0.000    0.001    0.000 instructions.py:30(descr)
        8    0.000    0.000    0.000    0.000 ir_utils.py:1464(build_definitions)
      318    0.000    0.000    0.001    0.000 typeinfer.py:53(add_type)
      204    0.000    0.000    0.002    0.000 builder.py:813(cbranch)
      197    0.000    0.000    0.000    0.000 templates.py:179(signature)
      121    0.000    0.000    0.000    0.000 containers.py:85(__init__)
      266    0.000    0.000    0.002    0.000 values.py:748(__str__)
       46    0.000    0.000    0.001    0.000 ir_utils.py:1489(find_callname)
